m [g],r [cm],T [K],P [dyne/cm^2],l [erg/s],ρ [g/cm^3],κ [cm^2/g],ε [erg/g/s],∇_ad,∇_rad,∇,shell type
3.415021084567414e+32,10439463020.905073,14894397.267616304,1.2472725174097402e+17,1.0981744570529079e+34,61.921670092473384,0.9992761586412379,15.409807758987847,0.39999976282720645,0.3210768184524506,0.3210768184524506,radiative
3.4749337351686254e+32,10509813562.707474,14859443.622368895,1.2381663459002915e+17,1.1073329134248045e+34,61.614309099286416,1.0035685090368505,15.1638354640531,0.3999997638063117,0.32020150153057386,0.32020150153057386,radiative
3.534846385769837e+32,10579578565.06006,14824739.151947642,1.229145566016503e+17,1.1163456814303615e+34,61.30872359110651,1.0078525700134229,14.923435984005199,0.3999997647674106,0.31934203769053243,0.31934203769053243,radiative
3.5947590363710476e+32,10648776253.417572,14790277.288292395,1.2202084699385666e+17,1.1252160366186177e+34,61.00488334680985,1.0121288535128463,14.688400072960448,0.399999765711039,0.31849789148308866,0.31849789148308866,radiative
3.654671686972259e+32,10717424053.615244,14756051.729641872,1.211353413506191e+17,1.1339471326292548e+34,60.70275923620797,1.016397852548878,14.458529883997434,0.39999976663770836,0.31766855310025166,0.31766855310025166,radiative
3.7145843375734706e+32,10785538639.9249,14722056.425598754,1.2025788128079949e+17,1.1425420077846702e+34,60.40232316274362,1.0206600422995329,14.233638187939208,0.3999997675479072,0.3168535368592699,0.3168535368592699,radiative
3.774496988174682e+32,10853135979.506964,14688285.563244948,1.1938831410063875e+17,1.1510035912333038e+34,60.10354801013765,1.0249158811235688,14.013547655529687,0.3999997684421033,0.31605237979568584,0.31605237979568584,radiative
3.8344096387758935e+32,10920231373.58128,14654733.554218266,1.1852649253781794e+17,1.1593347086803942e+34,59.80640759265264,1.0291658115074864,13.798090197075648,0.3999997693207437,0.3152646403562112,0.3152646403562112,radiative
3.894322289377105e+32,10986839495.606201,14621395.02267037,1.1767227445530923e+17,1.16753808773897e+34,59.51087660867297,1.0334102609488212,13.587106354254084,0.39999977018425686,0.3144898971830845,0.3144898971830845,radiative
3.9542349399783164e+32,11052974426.72581,14588264.794033755,1.1682552259340776e+17,1.1756163629308903e+34,59.21693059732938,1.0376496427809796,13.3804447393372,0.3999997710330531,0.31372774798238057,0.31372774798238057,radiative
4.014147590579528e+32,11118649688.719006,14555337.884532329,1.1598610432848749e+17,1.1835720803650369e+34,58.92454589792313,1.0418843569443184,13.177961517577383,0.39999977186752594,0.31297780846944484,0.31297780846944484,radiative
4.0740602411807394e+32,11183878274.661028,14522609.491376381,1.151538914471616e+17,1.1914077021173548e+34,58.63369961192758,1.0461147907078001,12.979519928926813,0.3999997726880528,0.3122397113852827,0.3122397113852827,radiative
4.13397289178195e+32,11248672677.487381,14490074.983588181,1.1432875993465024e+17,1.1991256103352583e+34,58.34436956736584,1.0503413193450617,12.784989845649445,0.39999977349499594,0.3115131055782807,0.3115131055782807,radiative
4.1938855423831616e+32,11313044916.631897,14457729.893409384,1.1351058977626674e+17,1.20672811108696e+34,58.05653428538193,1.05456430676848,12.594247362725108,0.3999997742887035,0.31079765514617474,0.31079765514617474,radiative
4.253798192984373e+32,11377006562.894344,14425569.908245865,1.1269926477103229e+17,1.2142174379745174e+34,57.77017294883892,1.0587841061243957,12.407174418247319,0.3999997750695095,0.31009303863360405,0.31009303863360405,radiative
