logT,-8,-7.5,-7,-6.5,-6,-5.5,-5,-4.5,-4,-3.5,-3,-2.5,-2,-1.5,-1,-0.5,0,0.5,1
5.25,-0.529,-0.516,-0.503,-0.48,-0.44,-0.36,-0.206,0.05,0.418,0.881,1.399,1.926,2.436,2.917,3.332,3.679,3.978,4.228,4.418
5.3,-0.543,-0.529,-0.515,-0.491,-0.454,-0.382,-0.238,0.012,0.381,0.849,1.374,1.911,2.424,2.884,3.261,3.563,3.834,4.076,4.27
5.35,-0.549,-0.538,-0.527,-0.506,-0.469,-0.403,-0.275,-0.042,0.316,0.78,1.312,1.859,2.379,2.825,3.169,3.438,3.686,3.922,4.124
5.4,-0.555,-0.545,-0.535,-0.517,-0.485,-0.424,-0.308,-0.097,0.235,0.684,1.216,1.777,2.304,2.744,3.065,3.309,3.542,3.771,3.986
5.45,-0.558,-0.55,-0.542,-0.526,-0.498,-0.443,-0.337,-0.146,0.157,0.58,1.1,1.668,2.209,2.649,2.958,3.185,3.404,3.627,3.774
5.5,-0.559,-0.552,-0.545,-0.532,-0.506,-0.456,-0.36,-0.185,0.093,0.486,0.986,1.55,2.101,2.548,2.852,3.067,3.272,3.492,3.637
5.55,-0.562,-0.554,-0.546,-0.533,-0.509,-0.464,-0.375,-0.214,0.048,0.418,0.894,1.444,1.996,2.449,2.752,2.958,3.151,3.358,3.498
5.6,-0.564,-0.556,-0.548,-0.534,-0.511,-0.466,-0.382,-0.231,0.017,0.373,0.83,1.361,1.903,2.356,2.657,2.856,3.04,3.169,3.268
5.65,-0.565,-0.558,-0.551,-0.538,-0.514,-0.471,-0.389,-0.242,-0.001,0.349,0.794,1.306,1.83,2.273,2.567,2.76,2.929,3.05,3.145
5.7,-0.568,-0.561,-0.554,-0.542,-0.52,-0.478,-0.398,-0.253,-0.011,0.338,0.778,1.275,1.777,2.198,2.477,2.665,2.811,2.92,3.007
5.75,-0.57,-0.564,-0.558,-0.548,-0.527,-0.488,-0.411,-0.268,-0.025,0.331,0.772,1.258,1.738,2.13,2.388,2.56,2.72,2.837,2.929
5.8,-0.57,-0.566,-0.562,-0.553,-0.535,-0.5,-0.429,-0.29,-0.047,0.315,0.762,1.242,1.7,2.06,2.296,2.456,2.612,2.727,2.817
5.85,-0.57,-0.567,-0.564,-0.558,-0.544,-0.514,-0.451,-0.322,-0.081,0.288,0.744,1.224,1.659,1.985,2.196,2.351,2.5,2.611,2.699
5.9,-0.569,-0.567,-0.565,-0.561,-0.55,-0.526,-0.473,-0.358,-0.129,0.244,0.712,1.195,1.609,1.902,2.093,2.243,2.407,2.526,2.619
5.95,-0.569,-0.567,-0.565,-0.562,-0.554,-0.535,-0.491,-0.393,-0.187,0.179,0.662,1.152,1.55,1.816,1.991,2.144,2.318,2.442,2.538
6,-0.567,-0.566,-0.565,-0.562,-0.555,-0.541,-0.504,-0.42,-0.24,0.101,0.587,1.087,1.476,1.729,1.9,2.059,2.243,2.372,2.471
6.1,-0.571,-0.568,-0.565,-0.562,-0.555,-0.543,-0.515,-0.452,-0.314,-0.042,0.4,0.9,1.298,1.565,1.76,1.944,2.163,2.308,2.416
6.2,-0.57,-0.569,-0.568,-0.565,-0.558,-0.544,-0.519,-0.463,-0.345,-0.118,0.257,0.724,1.142,1.452,1.687,1.905,2.134,2.283,2.394
6.3,-0.569,-0.569,-0.569,-0.567,-0.562,-0.55,-0.523,-0.47,-0.363,-0.152,0.192,0.633,1.063,1.407,1.666,1.885,2.105,2.25,2.359
6.4,-0.571,-0.57,-0.569,-0.568,-0.564,-0.555,-0.532,-0.479,-0.374,-0.177,0.158,0.597,1.03,1.374,1.622,1.799,2.019,2.164,2.273
6.5,-0.572,-0.571,-0.57,-0.569,-0.565,-0.558,-0.54,-0.495,-0.394,-0.202,0.116,0.537,0.952,1.269,1.481,1.654,1.867,2.009,2.116
6.6,-0.571,-0.571,-0.571,-0.57,-0.566,-0.559,-0.543,-0.504,-0.417,-0.241,0.056,0.436,0.808,1.093,1.302,1.47,1.591,1.685,1.763
6.7,-0.572,-0.572,-0.572,-0.571,-0.568,-0.562,-0.546,-0.509,-0.429,-0.269,0.001,0.345,0.673,0.932,1.117,1.346,1.495,1.606,1.694
6.8,-0.573,-0.573,-0.573,-0.573,-0.571,-0.567,-0.554,-0.521,-0.444,-0.293,-0.044,0.27,0.559,0.775,0.947,1.194,1.35,1.465,1.556
6.9,-0.576,-0.575,-0.574,-0.574,-0.573,-0.57,-0.561,-0.537,-0.474,-0.34,-0.117,0.157,0.404,0.585,0.767,1.006,1.159,1.272,1.362
7,-0.576,-0.576,-0.576,-0.576,-0.575,-0.573,-0.567,-0.55,-0.506,-0.406,-0.23,-0.005,0.202,0.38,0.574,0.805,0.955,1.066,1.155
7.1,-0.578,-0.578,-0.578,-0.578,-0.577,-0.576,-0.572,-0.561,-0.531,-0.463,-0.337,-0.167,0.008,0.195,0.395,0.698,0.875,1,1.097
7.2,-0.58,-0.58,-0.58,-0.58,-0.58,-0.579,-0.576,-0.568,-0.548,-0.502,-0.415,-0.29,-0.136,0.038,0.278,0.559,0.728,0.85,0.944
7.3,-0.583,-0.583,-0.583,-0.583,-0.583,-0.582,-0.58,-0.574,-0.56,-0.528,-0.466,-0.37,-0.239,-0.073,0.167,0.412,0.568,0.682,0.772
7.4,-0.587,-0.587,-0.587,-0.586,-0.586,-0.586,-0.584,-0.58,-0.57,-0.546,-0.5,-0.423,-0.313,-0.156,0.056,0.311,0.471,0.587,0.679
7.5,-0.591,-0.591,-0.591,-0.591,-0.591,-0.59,-0.589,-0.586,-0.578,-0.56,-0.523,-0.461,-0.367,-0.231,-0.049,0.211,0.373,0.49,0.582
7.6,-0.596,-0.596,-0.596,-0.596,-0.596,-0.596,-0.595,-0.592,-0.586,-0.571,-0.542,-0.491,-0.411,-0.298,-0.126,0.12,0.276,0.391,0.481
7.7,-0.603,-0.603,-0.603,-0.603,-0.603,-0.602,-0.601,-0.599,-0.594,-0.583,-0.559,-0.517,-0.454,-0.356,-0.216,0.039,0.199,0.315,0.407
7.8,-0.611,-0.611,-0.611,-0.611,-0.611,-0.61,-0.61,-0.608,-0.604,-0.594,-0.576,-0.543,-0.495,-0.42,-0.286,0.034,0.216,0.344,0.443
7.9,-0.621,-0.621,-0.621,-0.621,-0.621,-0.621,-0.62,-0.619,-0.615,-0.608,-0.594,-0.57,-0.539,-0.483,-0.35,-0.066,0.104,0.226,0.321
8,-0.633,-0.633,-0.633,-0.633,-0.633,-0.633,-0.633,-0.632,-0.629,-0.624,-0.614,-0.603,-0.583,-0.569,-0.45,-0.055,0.148,0.286,0.391
8.1,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.3,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.5,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.7,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
